Número de GRU;Valor Cobrado (R$);Valor Pago (R$);Data Vencimento;Data Pagamento;Ano Débito;Trimestre;UF;Última Atualização Relatório
00000000001156504;360;360;31/03/2006;30/03/2006;2006;1;AC;02/04/2024 20:00
00000000001206794;180;180;31/03/2006;28/03/2006;2006;1;AC;02/04/2024 20:00
00000000001209082;180;180;31/03/2006;30/03/2006;2006;1;AC;02/04/2024 20:00
00000000001209387;2.250;2.250;31/03/2006;31/03/2006;2006;1;AC;02/04/2024 20:00
00000000001210404;225;225;31/03/2006;31/03/2006;2006;1;AC;02/04/2024 20:00
00000000001213282;225;227,2;31/03/2006;03/04/2006;2006;1;AC;02/04/2024 20:00
00000000001216496;180;181,8;31/03/2006;06/04/2006;2006;1;AC;02/04/2024 20:00
00000000001220710;180;199,8;31/03/2006;17/04/2006;2006;1;AC;02/04/2024 20:00
00000000001223490;360;399,6;31/03/2006;18/04/2006;2006;1;AC;02/04/2024 20:00
00000000001226369;225;249,8;31/03/2006;28/04/2006;2006;1;AC;02/04/2024 20:00
00000000001307504;180;219,6;31/03/2006;27/04/2006;2006;1;AC;02/04/2024 20:00
00000000001407172;225;274,5;31/03/2006;08/05/2006;2006;1;AC;02/04/2024 20:00
00000000001457939;180;219,6;31/03/2006;09/05/2006;2006;1;AC;02/04/2024 20:00
00000000001458119;360;439,2;31/03/2006;09/05/2006;2006;1;AC;02/04/2024 20:00
00000000001471184;180;137,2;31/03/2006;16/05/2006;2006;1;AC;02/04/2024 20:00
00000000001473387;180;219,6;31/03/2006;23/05/2006;2006;1;AC;02/04/2024 20:00
00000000001565708;225;276,8;31/03/2006;12/06/2006;2006;1;AC;02/04/2024 20:00
00000000001566057;225;276,8;31/03/2006;30/06/2006;2006;1;AC;02/04/2024 20:00
00000000001566242;180;221,4;31/03/2006;27/06/2006;2006;1;AC;02/04/2024 20:00
00000000001566252;450;553,5;31/03/2006;30/06/2006;2006;1;AC;02/04/2024 20:00
00000000001567090;50;61,5;31/03/2006;30/06/2006;2006;1;AC;02/04/2024 20:00
00000000001567231;225;276,8;31/03/2006;30/06/2006;2006;1;AC;02/04/2024 20:00
00000000001617882;225;276,8;31/03/2006;23/06/2006;2006;1;AC;02/04/2024 20:00
00000000002222566;180;223,2;31/03/2006;05/07/2006;2006;1;AC;02/04/2024 20:00
00000000002222812;225;279;31/03/2006;05/07/2006;2006;1;AC;02/04/2024 20:00
00000000002265904;180;223,2;31/03/2006;31/07/2006;2006;1;AC;02/04/2024 20:00
00000000002265918;180;223,2;31/03/2006;13/07/2006;2006;1;AC;02/04/2024 20:00
00000000002276523;450;562,5;31/03/2006;02/08/2006;2006;1;AC;02/04/2024 20:00
00000000002276652;450;562,5;31/03/2006;02/08/2006;2006;1;AC;02/04/2024 20:00
00000000002281924;450;562,5;31/03/2006;23/08/2006;2006;1;AC;02/04/2024 20:00
00000000002282953;450;562,5;31/03/2006;23/08/2006;2006;1;AC;02/04/2024 20:00
00000000002282993;225;281,2;31/03/2006;08/08/2006;2006;1;AC;02/04/2024 20:00
00000000002283000;180;223,2;31/03/2006;25/07/2006;2006;1;AC;02/04/2024 20:00
00000000002283014;225;281,2;31/03/2006;04/08/2006;2006;1;AC;02/04/2024 20:00
00000000010000990;450;558;31/03/2006;28/07/2006;2006;1;AC;02/04/2024 20:00
00000000010056779;50;62;31/03/2006;15/08/2006;2006;1;AC;02/04/2024 20:00
00000000010084075;450;558;31/03/2006;21/08/2006;2006;1;AC;02/04/2024 20:00
00000000010126139;180;225;31/03/2006;20/09/2006;2006;1;AC;02/04/2024 20:00
00000000010235696;225;288;31/03/2006;22/11/2006;2006;1;AC;02/04/2024 20:00
00000000010253893;450;576;31/03/2006;29/11/2006;2006;1;AC;02/04/2024 20:00
00000000010254974;180;230,4;31/03/2006;29/11/2006;2006;1;AC;02/04/2024 20:00
00000000010272078;450;580,5;31/03/2006;07/12/2006;2006;1;AC;02/04/2024 20:00
00000000010279975;50;64,5;31/03/2006;13/12/2006;2006;1;AC;02/04/2024 20:00
