,Municipio,Mediana_Ecoeficiencia
653,AGUAS LINDAS DE GOIAS,5598.380177165354
654,ALEXANIA,3998.191808344371
655,ALOANDIA,58154.11431
656,ALTO HORIZONTE,2114.866162341248
657,ALTO PARAISO DE GOIAS,81068.53543356262
658,ALVORADA DO NORTE,628.1038269131814
659,ANAPOLIS,237.39734975779595
660,ANICUNS,704.8633746869693
661,APARECIDA DE GOIANIA,734.490524845679
662,ARACU,4805.156343650794
663,ARAGARCAS,54.553188046187074
664,ARAGOIANIA,1004.3814551971325
665,ARAGUAPAZ,1376.5615
666,ARUANA,195.32918029317236
667,AVELINOPOLIS,367.0106902173913
668,BARRO ALTO,2342.828042929293
669,BELA VISTA DE GOIAS,98.08058333333334
670,BOM JARDIM DE GOIAS,2970.51711
671,BOM JESUS DE GOIAS,70.11710771349861
672,BRAZABRANTES,342.1377444230769
673,BRITANIA,125.25539864864865
674,BURITI ALEGRE,275.24232664835165
675,BURITI DE GOIAS,4435.6195333333335
676,CABECEIRAS,1514.5575
677,CACHOEIRA ALTA,26.07204220045215
678,CACHOEIRA DE GOIAS,424.59011074380163
679,CACHOEIRA DOURADA,88.35322307692307
680,CACU,88.16202188205278
681,CAIAPONIA,288.6708499525166
682,CALDAS NOVAS,952.0572333333333
683,CAMPESTRE DE GOIAS,2930.2848612903226
684,CAMPINACU,1240.96206
685,CAMPINORTE,1817.1099173553719
686,CAMPO ALEGRE DE GOIAS,4462.91352
687,CAMPO LIMPO DE GOIAS,783.0805704225352
688,CAMPOS BELOS,7586.166666666667
689,CARMO DO RIO VERDE,258.9798695246971
690,CASTELANDIA,5759.375857142857
691,CATALAO,388.48300670057495
692,CATURAI,729.2468933333333
693,CAVALCANTE,2970.7716549999996
694,CERES,4118.258678125
695,CEZARINA,23497.87939729238
696,CHAPADAO DO CEU,17.83323077698822
697,CIDADE OCIDENTAL,1221.9592810126583
698,COCALZINHO DE GOIAS,564.3933818354913
699,CORUMBA DE GOIAS,335.5844166666667
700,CORUMBAIBA,316.8308
701,CRISTALINA,295.6767848623853
702,CRIXAS,84015.89349999999
703,CROMINIA,5181.882077777778
704,CUMARI,1072.74995
705,DAVINOPOLIS,543.9882366666667
706,DIORAMA,3829.626025
707,DOVERLANDIA,2880.38745
708,EDEALINA,357.19006034876367
709,EDEIA,293.8691685736079
710,ESTRELA DO NORTE,16.21727536231884
711,FAINA,2695.2295591666666
712,FAZENDA NOVA,3781.8632911392406
713,FORMOSA,1273.830944926964
714,FORMOSO,0.03940706384037884
715,GOIANAPOLIS,65.14628216464388
716,GOIANDIRA,2774.0494239130435
717,GOIANESIA,366.6698204079506
718,GOIANIA,793.652435
719,GOIANIRA,595.94924
720,GOIAS,195996.82752173912
